Timestamp,Library,OptimizationMode,QueueType,Implementation,ContentionLevel,Producers,Consumers,BatchSize,TotalItems,DurationSec,OpsPerSec,GCBytes,GCEfficiency,ScalingFactor,LatMin,LatP25,LatP50,LatP90,LatP99,LatP999,LatMax
2025-11-28T15:45:50.053719-06:00,Lock-Based,Single-Threaded,MPSC,Mutex-Protected-List,Medium,4,1,N/A,1000000,0.490,2040820.50,16265568,62.96,0.547,,,,,,,
2025-11-28T15:45:50.839854-06:00,oconnore/queues,Single-Threaded,MPSC,External-Queue,Medium,4,1,N/A,1000000,0.770,1298701.30,39542976,25.90,0.244,,,,,,,
2025-11-28T15:45:51.753366-06:00,Lock-Based,Single-Threaded,SPMC,Mutex-Protected-List,Medium,1,4,N/A,1000000,0.910,1098901.10,16157824,63.37,0.295,,,,,,,
2025-11-28T15:45:53.791790-06:00,oconnore/queues,Single-Threaded,SPMC,External-Queue,Medium,1,4,N/A,1000000,2.030,492610.84,16293728,62.85,0.093,,,,,,,
2025-11-28T15:45:53.986019-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-SPSC,1P-1C,1,1,N/A,200000,0,0,0,0,0,204,1132,1165,1947,2059,2076,2079
2025-11-28T15:45:54.149706-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-Bounded,1P-1C,1,1,N/A,200000,0,0,0,0,0,206,1197,1222,1302,1340,1346,1348
2025-11-28T15:45:54.289389-06:00,cl-freelock,Single-Threaded,SPMC,Lock-Free-Bounded,Medium,1,4,N/A,200000,0,0,0,0,0,1,989,1005,1030,1070,1081,1083
2025-11-28T15:45:54.920336-06:00,cl-freelock,Single-Threaded,MPSC,Lock-Free-Bounded,Medium,4,1,N/A,800000,0,0,0,0,0,776,1352,1491,1686,1926,2321,2607
2025-11-28T15:45:55.604401-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Bounded,Medium,4,4,N/A,800000,0,0,0,0,0,0,1432,1494,1545,1571,1588,1739
2025-11-28T15:45:55.735231-06:00,cl-freelock,Single-Threaded,SPSC,Lock-Free-Unbounded,1P-1C,1,1,N/A,200000,0,0,0,0,0,1,6870,14172,21317,22971,23133,23150
2025-11-28T15:45:55.881656-06:00,cl-freelock,Single-Threaded,SPMC,Lock-Free-Unbounded,Medium,1,4,N/A,200000,0,0,0,0,0,0,1,1,2,45,56,62
2025-11-28T15:45:56.505704-06:00,cl-freelock,Single-Threaded,Balanced,Lock-Free-Unbounded,Medium,4,4,N/A,800000,0,0,0,0,0,0,1,3,6452,11604,12327,12421
